Days_of_testing,Cum_5%
1,23.83505053
2,54.84792315
3,95.27518561
4,135.6964329
8,181.2175277
9,232.027815
10,281.4503438
11,332.6230247
14,383.3870624
15,417.5933663
16,458.5977002
17,503.9462667
18,555.9537205
21,622.1636786
22,693.515409
23,774.9711376
24,855.8024614
25,946.216232
28,1049.231969
29,1061.602341
30,1082.125446
31,1107.111113
32,1136.571908
35,1183.247213
36,1235.116249
37,1289.961694
38,1347.30886
39,1408.221034
42,1479.701444
43,1475.748836
44,1466.820983
46,1471.671214
52,1488.048368
53,1494.281825
56,1508.988559
57,1525.750901
58,1545.982569
59,1570.569923
60,1598.59728
63,1633.841064
64,1665.469287
65,1701.014558
66,1738.963299
67,1781.127395
70,1825.989319
71,1845.431926
72,1868.671863
73,1895.259129
74,1923.916885
77,1959.007477
78,1991.832263
79,2030.483005
80,2071.620517
84,2121.791363
85,2134.074498
86,2149.831293
87,2169.612621
88,2193.107961
91,2222.745267
92,2255.529001
93,2289.845162
94,2325.162961
95,2362.085607
99,2402.960122
100,2421.862213
101,2442.648147
102,2465.796265
112,2503.373151
113,2508.428416
114,2517.159037
115,2530.250492
116,2546.727433
119,2563.67195
120,2581.002824
121,2600.058507
122,2620.356052
123,2642.378404
126,2671.619172
127,2681.189733
128,2695.738209
129,2713.274089
130,2733.762551
133,2759.569351
134,2786.497632
135,2815.750107
136,2845.548765
140,2880.624106
141,2887.697902
143,2899.127804
144,2912.183118
147,2928.086155
148,2943.58662
149,2961.965138
150,2981.118733
151,3000.587614
154,3022.823034
155,3025.716379
156,3032.478096
157,3043.763452
158,3053.327113
161,3069.417255
162,3091.273078
163,3107.851842
169,3138.463698
170,3141.451582
171,3149.635869
172,3152.626628
173,3163.609073
176,3175.73655
180,3184.934923
183,3204.062245
184,3200.281664
185,3207.524315
186,3215.528621
187,3227.202124
190,3242.436027
191,3257.436197
192,3271.821098
193,3286.890013
197,3303.958717
198,3306.911588
201,3313.665642
204,3320.474496
205,3330.804225
208,3344.69593
211,3358.271468
212,3371.769878
213,3388.845289
214,3405.231713
215,3421.903445
225,3442.740669
226,3450.671804
232,3466.456317
233,3477.873523
234,3491.539992
236,3498.522765
239,3506.400671
240,3535.538032
241,3565.988546
243,3588.513277
246,3610.334526
249,3636.303146
253,3664.588475
254,3665.181667
260,3666.179538
267,3678.467441
268,3681.029091
274,3698.083623
281,3711.381665
282,3716.746469
289,3732.6699
296,3747.485654
303,3763.856809
310,3786.532258
311,3791.129986
317,3805.848155
324,3824.808825
325,3827.048712
338,3846.708077
339,3856.079349
345,3874.49449
352,3893.502231
353,3899.013247
358,3911.648634
366,3932.496317
367,3931.475974
373,3943.074918
380,3955.870079
394,3969.15996
395,3975.570947
401,3988.245756
408,4006.917725
409,4017.469972
415,4035.740969
422,4057.007069
423,4054.087539
436,4065.137238
437,4063.489082
443,4069.126801
450,4079.73385
451,4090.445626
464,4116.832048
465,4123.239705
479,4143.948301
480,4156.016533
494,4185.040188
495,4197.779584
501,4214.149215
508,4228.411169
509,4231.208834
515,4240.849053
522,4254.698786
523,4262.224879
536,4275.421221
542,4284.735082
549,4295.149094
550,4304.50887
556,4319.200801
563,4332.502943
564,4334.89327
571,4340.719336
577,4346.055089
578,4342.32279
592,4346.981808
593,4352.532688
607,4367.936055
608,4367.845797
621,4356.748873
622,4363.702422
635,4374.050224
636,4373.261967
649,4377.829894
650,4379.796912
663,4388.344895
