Days_of_testing,Cum_10%
1,27.51338672
2,71.52185799
3,128.0634861
4,186.0056436
8,250.8068778
9,318.7106453
10,386.7447714
11,456.7296616
14,525.5201361
15,568.9307912
16,624.2549588
17,686.0472319
18,755.8116682
21,849.4157128
22,951.8253879
23,1058.472736
24,1164.856427
25,1281.370897
28,1419.55797
29,1439.821856
30,1469.824907
31,1507.400583
32,1550.469686
35,1613.991394
36,1685.31012
37,1760.435577
38,1839.303893
39,1921.461712
42,2014.16803
43,2013.535747
44,2011.388125
46,2026.575514
52,2060.629556
53,2085.83055
56,2121.863376
57,2142.272176
58,2168.387926
59,2199.061899
60,2233.685627
63,2279.752783
64,2322.703738
65,2370.969361
66,2427.931409
67,2483.634279
70,2545.82716
71,2569.790633
72,2598.758497
73,2632.659901
74,2669.883672
77,2715.875243
78,2760.057273
79,2811.027915
80,2864.790746
84,2929.31545
85,2947.268457
86,2969.668265
87,2996.657662
88,3027.797241
91,3068.754499
92,3113.748535
93,3160.599397
94,3209.317579
95,3259.724658
99,3317.461977
100,3341.287788
101,3368.328301
102,3398.515565
112,3450.481625
113,3460.67152
114,3476.237032
115,3496.693813
116,3521.418655
119,3548.292585
120,3576.540438
121,3607.082743
122,3638.99897
123,3673.209648
126,3716.597055
127,3731.913658
128,3752.454677
129,3776.259967
130,3803.328636
133,3837.628049
134,3872.688825
135,3910.238864
136,3948.965108
140,3993.800609
141,4005.064914
143,4022.867693
144,4042.651437
147,4066.85027
148,4092.001843
149,4120.373443
150,4150.353945
151,4181.223921
154,4212.675572
155,4221.605133
156,4234.474924
157,4250.900101
158,4268.061715
161,4292.295369
162,4322.720158
163,4348.462578
169,4389.264804
170,4397.410484
171,4411.707468
172,4420.977861
173,4438.060992
176,4456.804132
180,4474.024947
183,4502.383467
184,4502.976386
185,4516.861737
186,4544.935791
187,4563.923405
190,4587.470176
191,4611.030638
192,4633.838542
193,4657.905534
197,4684.710768
198,4693.009262
201,4706.254761
204,4720.264161
205,4738.543223
208,4760.50538
211,4782.447219
212,4800.271578
213,4822.923367
214,4844.749113
215,4868.267117
225,4896.44096
226,4906.144569
232,4927.771228
233,4944.920291
234,4964.587507
236,4978.376569
239,4993.090637
240,5028.038447
241,5064.973458
243,5094.776174
246,5123.799129
249,5156.92776
253,5194.210891
254,5200.576734
260,5209.493214
267,5230.284056
268,5235.501888
274,5256.922088
281,5276.325176
282,5283.050827
289,5303.192535
296,5324.199815
303,5346.430632
310,5376.126309
311,5385.444819
317,5406.844885
324,5434.263477
325,5437.64227
338,5465.223507
339,5479.580866
345,5505.678773
352,5533.957804
353,5543.060959
358,5560.597134
366,5587.001541
367,5591.026811
373,5610.163181
380,5632.87514
394,5653.205202
395,5664.135067
401,5682.765173
408,5708.649974
409,5722.090933
415,5745.473759
422,5772.866984
423,5773.375382
436,5791.443077
437,5794.013619
443,5807.23721
450,5825.640281
451,5840.197642
464,5875.12084
465,5885.535073
479,5915.118622
480,5931.226349
494,5966.641029
495,5984.850626
501,6008.481193
508,6032.223687
509,6041.155011
515,6057.963697
522,6080.022413
523,6090.885494
536,6112.283572
542,6130.440691
549,6149.785106
550,6165.215909
556,6187.453583
563,6210.220591
564,6217.759838
571,6230.137333
577,6243.405089
578,6245.14525
592,6256.54523
593,6268.003746
607,6289.795653
608,6292.851258
621,6289.289417
622,6297.211854
635,6311.758481
636,6312.730228
649,6325.268464
650,6330.655977
663,6344.110151
