Dose,Day,ReleaseRate
10,1,44.00847127
10,2,50.27504969
10,3,57.24189281
10,4,49.59378771
10,8,57.56307571
10,9,67.9689468
10,10,69.00950815
10,11,58.22120719
10,14,38.29053087
10,15,49.36741135
10,16,58.55822035
10,17,65.7783547
10,18,60.12366427
10,21,84.60759338
10,22,104.5285116
10,23,106.5155195
10,24,111.4490805
10,25,98.90144192
10,28,26.71350392
10,29,25.1334685
10,30,33.7893635
10,31,40.3223895
10,32,37.59530292
10,35,58.78252017
10,36,73.2220915
10,37,76.9968865
10,38,80.5130675
10,39,69.34389075
10,42,7.25131425
10,43,-1.3899525
10,44,1.0994835
10,46,7.114189292
10,52,22.41166252
10,53,21.903481
10,56,18.3093355
10,57,23.262275
10,58,28.3948615
10,59,32.6488505
10,60,29.80672567
10,63,36.05214592
10,64,45.608289
10,65,52.6138355
10,66,56.332459
10,67,46.95989258
10,70,23.15534483
10,71,26.4656685
10,72,31.434634
10,73,35.5625875
10,74,31.75045917
10,77,36.96915342
10,78,47.576336
10,79,52.3667365
10,80,46.2365
10,84,17.5886408
10,85,20.1764075
10,86,24.6946025
10,87,29.064488
10,88,26.76778908
10,91,37.15863183
10,92,45.922449
10,93,47.784522
10,94,49.5626305
10,95,43.21252915
10,99,21.94751475
10,100,25.433162
10,101,28.6138885
10,102,27.915386
10,112,9.735959636
10,113,12.8777035
10,114,18.0111465
10,115,22.5908115
10,116,20.78312567
10,119,23.42538392
10,120,29.395079
10,121,31.229266
10,122,33.0634525
10,123,29.27362575
10,126,15.1030695
10,127,17.928811
10,128,22.1731545
10,129,25.4369795
10,130,23.15978617
10,133,29.15386642
10,134,36.3054075
10,135,38.1381415
10,136,33.22277025
10,140,11.25321905
10,141,10.4766665
10,143,16.1562925
10,144,16.85437742
10,147,20.88024917
10,148,26.7615865
10,149,29.176051
10,150,30.425239
10,151,25.77345292
10,154,9.318141667
10,155,10.899676
10,156,14.647484
10,157,16.7933955
10,158,14.89068167
10,161,24.83806292
10,162,28.0836045
10,163,23.036413
10,169,7.953493
10,170,11.221332
10,171,11.7836885
10,172,13.176762
10,173,14.37427658
10,176,5.415209226
10,180,7.246710179
10,183,2.80789925
10,184,7.239135
10,185,20.9797025
10,186,23.530834
10,187,16.20294142
10,190,19.63257742
10,191,23.184183
10,192,23.437448
10,193,20.5938553
10,197,7.9790569
10,198,7.327662083
10,201,4.542483167
10,204,14.8767465
10,205,15.53947625
10,208,7.317332667
10,211,15.19675583
10,212,20.238074
10,213,22.2387675
10,214,22.671875
10,215,21.63612948
10,225,9.077588573
10,226,8.832299595
10,232,15.21411731
10,233,18.4081395
10,234,15.40965433
10,236,6.098594333
10,239,27.43702983
10,240,35.9414105
10,241,29.59046
10,243,12.81054213
10,246,10.35859767
10,249,10.30483661
10,253,6.95683095
10,254,5.668734
10,260,2.17102167
10,267,4.936868036
10,268,4.98243219
10,274,3.201650125
10,281,6.231428339
10,282,6.244617982
10,289,2.939213429
10,296,3.0884355
10,303,3.709035286
10,310,8.683976196
10,311,8.496819667
10,317,3.728337996
10,324,3.446061589
10,325,3.288995901
10,338,13.48337862
10,339,12.92768645
10,345,4.206671353
10,352,8.470243321
10,353,8.170501667
10,358,3.427741106
10,366,3.944745653
10,367,3.905859286
10,373,3.214858341
10,380,2.64709281
10,394,10.29801715
10,395,9.812029667
10,401,3.378622766
10,408,12.22306771
10,409,12.07755595
10,415,3.904605447
10,422,0.934012982
10,423,0.571356907
10,436,2.486204907
10,437,2.518169119
10,443,2.400121822
10,450,13.06631714
10,451,13.7094352
10,464,9.862244918
10,465,9.860824843
10,479,15.17475258
10,480,15.20251987
10,494,17.1642652
10,495,16.17085855
10,501,3.686131075
10,508,8.238881607
10,509,8.055627381
10,515,2.962892656
10,522,9.899101518
10,523,10.2047185
10,536,2.590340026
10,542,2.904940973
10,549,13.84738861
10,550,13.755871
10,556,3.496810099
10,563,7.003394839
10,564,6.817867821
10,571,2.006794623
10,577,1.807465524
10,578,1.678435886
10,592,10.74890055
10,593,10.79838592
10,607,2.955668986
10,608,2.817776945
10,621,7.336978088
10,622,7.436475165
10,635,0.982263022
10,636,0.971227907
10,649,5.071582049
10,650,5.076614676
10,663,1.034936462
