Day,Dose,Elution_Cumulative,ReleaseRate
415,1,1850.816771,1.329629262
422,1,1859.545424,-6.039922196
423,1,1852.46452,-6.582632066
436,1,1851.09826,-7.223923923
437,1,1843.326734,-6.809192929
443,1,1837.115567,-0.65354561
450,1,1835.657547,7.142142429
451,1,1843.849751,7.680835885
464,1,1857.279406,2.437487385
465,1,1859.824927,2.40506741
479,1,1865.966967,6.48778661
480,1,1872.88683,6.528487024
494,1,1887.575957,7.626260624
495,1,1895.672006,7.140556833
501,1,1904.117629,0.76816657
508,1,1904.272724,-0.351759446
509,1,1903.867548,-0.317641
515,1,1905.112962,0.243907374
522,1,1907.117077,3.748924643
523,1,1911.360662,3.965364544
536,1,1915.891144,0.19425194
542,1,1916.629511,-0.005380778
549,1,1915.542903,3.059324036
550,1,1919.061449,3.16265269
556,1,1925.225206,0.715201592
563,1,1927.682872,-2.040102357
564,1,1925.30117,-2.135306839
571,1,1922.427385,-0.679497381
577,1,1916.967195,-8.453105095
578,1,1907.256911,-9.100518486
592,1,1899.363693,-0.023597019
593,1,1899.378682,0.037833976
607,1,1904.385973,-6.01962349
608,1,1897.910829,-6.128887764
621,1,1876.752592,-0.881259478
622,1,1875.92874,-0.771260967
635,1,1874.790232,-4.646452324
636,1,1869.793097,-4.686724912
649,1,1861.324978,-2.910732698
650,1,1858.24045,-2.875104604
663,1,1856.256644,-0.152600462
1,2,15.68549099,24.68940392
2,2,40.37489491,30.21630149
3,2,76.11809397,37.93244074
4,2,116.2397764,34.807161
8,2,170.4360776,49.2227553
9,2,228.5772529,58.5722377
10,2,287.580553,60.09383905
11,2,348.764931,51.1130243
14,2,411.4618206,18.46855902
15,2,429.1202449,20.3633972
16,2,452.188615,24.30062885
17,2,477.7215026,28.1928532
18,2,508.5743214,26.46229737
21,2,548.4465207,35.1037391
22,2,590.8212618,47.0217245
23,2,642.4899697,50.75775525
24,2,692.3367723,53.1514579
25,2,748.7928855,47.89828567
28,2,815.4672948,9.149121675
29,2,820.257856,6.29346845
30,2,828.0542317,9.72966615
31,2,839.7171883,12.951309
32,2,853.9568497,12.83314402
35,2,879.7976253,24.37804657
36,2,909.4304901,30.8873014
37,2,941.5722281,33.2105692
38,2,975.8516285,35.46712895
39,2,1012.506486,31.08406413
42,2,1055.621538,-1.246172
43,2,1049.169414,-9.8455405
44,2,1035.930457,-9.247624333
46,2,1033.400539,-0.831666208
52,2,1036.209812,-6.726960548
53,2,1028.283656,-6.0754375
56,2,1026.71381,9.27439775
57,2,1039.254101,13.4370955
58,2,1053.588001,15.309247
59,2,1069.872595,17.408095
60,2,1088.404191,16.06110742
63,2,1114.353116,17.52412867
64,2,1134.835407,22.1999465
65,2,1158.753009,24.796242
66,2,1184.427891,27.091724
67,2,1212.936457,23.88696425
70,2,1243.002934,13.476293
71,2,1257.630605,15.2380805
72,2,1273.479095,16.898631
73,2,1291.427867,18.917505
74,2,1311.314105,16.89190367
77,2,1335.040807,17.75991992
78,2,1356.0844,23.613842
79,2,1382.268491,27.0155415
80,2,1410.115483,23.940041
84,2,1443.364431,7.9888474
85,2,1451.272431,8.837809
86,2,1461.040049,10.804807
87,2,1472.882045,13.1902325
88,2,1487.420514,12.48090717
91,2,1506.345179,17.85299442
92,2,1528.046431,22.2933735
93,2,1550.931926,23.2371165
94,2,1574.520664,24.1485145
95,2,1599.228955,21.0668702
99,2,1625.233703,12.966939
100,2,1639.81708,14.138471
101,2,1653.510645,14.395825
102,2,1668.60873,13.94944257
112,2,1693.238913,1.155886209
113,2,1694.264086,1.671754
114,2,1696.582421,3.604016
115,2,1701.472118,5.706917
116,2,1707.996255,5.3084165
119,2,1712.98002,4.50420425
120,2,1718.431874,5.9268265
121,2,1724.833673,6.6633775
122,2,1731.758629,7.5513685
123,2,1739.93641,7.195721167
126,2,1752.685035,5.479257667
127,2,1758.574198,7.1175035
128,2,1766.920042,9.2209045
129,2,1777.016007,10.724948
130,2,1788.369938,9.910954833
133,2,1805.116017,13.57360533
134,2,1821.353482,16.920282
135,2,1838.956581,17.976959
136,2,1857.3074,15.776317
140,2,1879.220636,3.690449
141,2,1882.46412,2.912648667
143,2,1886.966076,4.348432
144,2,1892.363235,4.5787195
147,2,1898.733438,4.768231
148,2,1904.383279,6.82918
149,2,1912.391798,8.329646
150,2,1921.042571,8.9653465
151,2,1930.322491,7.730901333
154,2,1939.574027,1.486133583
155,2,1940.52759,2.1244715
156,2,1943.82297,4.5998145
157,2,1949.727219,4.8264585
158,2,1953.475887,3.55279775
161,2,1962.371448,11.86811975
162,2,1977.207212,11.5728745
163,2,1985.517197,7.644722167
169,2,2007.436068,2.541537881
170,2,2009.792338,3.8454565
171,2,2015.126981,2.3170255
172,2,2014.426389,2.5726165
173,2,2020.272214,4.829354
176,2,2025.612037,1.149069179
180,2,2026.843664,2.094299845
183,2,2037.145948,-3.141500833
184,2,2031.812582,-1.2653195
185,2,2034.615309,2.351549
186,2,2036.51568,3.250385
187,2,2041.116079,4.0280365
190,2,2048.048926,5.38561975
191,2,2054.459436,5.943255
192,2,2059.935436,5.8340385
193,2,2066.127513,5.29853265
197,2,2073.024934,0.47703745
198,2,2073.190142,0.200224417
201,2,2074.105963,-0.109351667
204,2,2072.534032,1.14021975
205,2,2074.228984,1.62660725
208,2,2078.493703,1.326051667
211,2,2082.185294,8.573837083
212,2,2093.2069,11.9693915
213,2,2106.124077,11.806156
214,2,2116.819212,10.5331735
215,2,2127.190424,9.547061218
225,2,2140.245958,7.406564855
226,2,2148.262624,7.15404319
232,2,2160.132462,6.278490619
233,2,2167.12765,7.474106
234,2,2175.080674,5.429593167
236,2,2175.846137,0.188540233
239,2,2175.537897,21.99802508
240,2,2204.902846,29.597153
241,2,2234.732203,23.41557567
243,2,2255.908229,8.9308354
246,2,2275.243436,6.957780333
249,2,2297.654911,6.787442917
253,2,2321.161756,1.31212625
254,2,2321.332736,0.087137357
260,2,2318.837225,0.256350478
267,2,2326.121875,1.231246036
268,2,2327.380347,1.370541286
274,2,2339.638089,1.436520714
281,2,2344.741171,1.983981589
282,2,2346.904434,2.041345375
289,2,2355.219888,1.021859214
296,2,2361.210463,0.999678214
303,2,2369.215383,1.448833357
310,2,2381.49413,1.359313964
311,2,2382.797045,1.282233762
317,2,2389.745923,1.191405234
324,2,2398.357374,2.624466161
325,2,2401.18102,2.678911044
338,2,2411.546656,6.308170258
339,2,2418.278735,6.024980119
345,2,2428.973056,1.580916537
352,2,2438.394131,3.394338357
353,2,2442.081108,3.266001433
358,2,2447.886726,1.243168417
366,2,2458.882247,-2.493327097
367,2,2455.905449,-2.468755071
373,2,2459.382464,0.4221255
380,2,2461.052097,0.229781095
394,2,2464.024371,3.017732352
395,2,2467.242491,2.889343048
401,2,2472.742579,1.10644819
408,2,2482.037479,7.338878607
409,2,2490.235077,7.271315738
415,2,2500.51681,1.673572222
422,2,2511.904741,-5.934384964
423,2,2504.89018,-6.511654857
436,2,2505.229805,-6.335754643
437,2,2498.404675,-5.942618595
443,2,2494.519374,-0.356327826
450,2,2494.403395,7.024295321
451,2,2502.433528,7.54569417
464,2,2518.65739,3.01747567
465,2,2521.81098,2.987131719
479,2,2531.005001,8.124617452
480,2,2539.66304,8.164688067
494,2,2557.27189,8.968110733
495,2,2566.790739,8.413032643
501,2,2577.459546,1.176134093
508,2,2580.776148,0.613178786
509,2,2581.409238,0.598962667
515,2,2583.77443,0.590313634
522,2,2589.508231,4.431762429
523,2,2594.456086,4.623585346
536,2,2599.761124,0.404953679
542,2,2602.182189,0.355443987
549,2,2604.277751,4.2704275
550,2,2609.115473,4.319146833
556,2,2616.361648,0.948870086
563,2,2620.889995,-2.505785411
564,2,2617.933825,-2.648827161
571,2,2614.451834,-0.673777234
577,2,2609.502228,-9.288196333
578,2,2598.803488,-10.01824033
592,2,2591.926058,2.558815533
593,2,2594.702735,2.623918629
607,2,2601.496955,-4.982675238
608,2,2596.12371,-5.094170467
621,2,2577.06309,0.385036104
622,2,2577.590529,0.494537368
635,2,2578.459139,-5.545892203
636,2,2572.4815,-5.586109736
649,2,2566.030519,-4.100645236
650,2,2561.652611,-4.083246088
663,2,2558.368275,-0.252641231
1,5,23.83505053,31.01287262
2,5,54.84792315,35.72006754
3,5,95.27518561,40.42425487
4,5,135.6964329,34.61305257
8,5,181.2175277,42.92428458
9,5,232.027815,50.11640805
10,5,281.4503438,50.29760485
11,5,332.6230247,42.60984715
14,5,383.3870624,29.8850644
15,5,417.5933663,37.6053189
16,5,458.5977002,43.1764502
17,5,503.9462667,48.67801015
18,5,555.9537205,44.52308686
21,5,622.1636786,59.03129431
22,5,693.515409,76.4037295
23,5,774.9711376,81.1435262
24,5,855.8024614,85.6225472
25,5,946.216232,76.3949727
28,5,1049.231969,17.86242375
29,5,1061.602341,16.4467385
30,5,1082.125446,22.754386
31,5,1107.111113,27.223231
32,5,1136.571908,25.985205
35,5,1183.247213,42.79138575
36,5,1235.116249,53.3572405
37,5,1289.961694,56.0963055
38,5,1347.30886,59.12967
39,5,1408.221034,51.64083133
42,5,1479.701444,2.992244833
43,5,1475.748836,-6.4402305
44,5,1466.820983,-5.143530167
46,5,1471.671214,2.501218042
52,5,1488.048368,5.732895381
53,5,1494.281825,5.900653917
56,5,1508.988559,13.79731767
57,5,1525.750901,18.497005
58,5,1545.982569,22.409511
59,5,1570.569923,26.3073555
60,5,1598.59728,23.95749975
63,5,1633.841064,26.65814925
64,5,1665.469287,33.586747
65,5,1701.014558,36.747006
66,5,1738.963299,40.0564185
67,5,1781.127395,35.36156567
70,5,1825.989319,18.32044892
71,5,1845.431926,21.341272
72,5,1868.671863,24.9136015
73,5,1895.259129,27.622511
74,5,1923.916885,24.417533
77,5,1959.007477,27.5428055
78,5,1991.832263,35.737764
79,5,2030.483005,39.894127
80,5,2071.620517,35.4185519
84,5,2121.791363,12.3350503
85,5,2134.074498,14.019965
86,5,2149.831293,17.7690615
87,5,2169.612621,21.638334
88,5,2193.107961,20.0912805
91,5,2222.745267,27.057576
92,5,2255.529001,33.5499475
93,5,2289.845162,34.81698
94,5,2325.162961,36.1202225
95,5,2362.085607,31.58184255
99,5,2402.960122,17.16539855
100,5,2421.862213,19.8440125
101,5,2442.648147,21.967026
102,5,2465.796265,21.38535169
112,5,2503.373151,4.937303509
113,5,2508.428416,6.892943
114,5,2517.159037,10.911038
115,5,2530.250492,14.784198
116,5,2546.727433,13.76974883
119,5,2563.67195,14.41019858
120,5,2581.002824,18.1932785
121,5,2600.058507,19.676614
122,5,2620.356052,21.1599485
123,5,2642.378404,18.95349467
126,5,2671.619172,9.614651417
127,5,2681.189733,12.0595185
128,5,2695.738209,16.042178
129,5,2713.274089,19.012171
130,5,2733.762551,17.51691317
133,5,2759.569351,22.34677742
134,5,2786.497632,28.090378
135,5,2815.750107,29.5255665
136,5,2845.548765,25.59269345
140,5,2880.624106,7.41280385
141,5,2887.697902,6.620847667
143,5,2899.127804,10.60852633
