Dose,Day,ReleaseRate
1,1,23.31686061
1,2,33.44214535
1,3,46.20109413
1,4,42.04533309
1,8,54.61163359
1,9,64.56890805
1,10,65.64387145
1,11,55.33352918
1,14,14.03447873
1,15,12.9470321
1,16,15.728183
1,17,18.79373265
1,18,17.48673167
1,21,23.15506059
1,22,32.2876489
1,23,35.7167277
1,24,36.86303015
1,25,33.12618054
1,28,3.971147567
1,29,2.086524
1,30,5.136085
1,31,6.9116299
1,32,7.182724092
1,35,17.06963059
1,36,21.7433272
1,37,23.21734195
1,38,24.64383715
1,39,21.82382613
1,42,-3.492604917
1,43,-12.18256435
1,44,-11.87147103
1,46,-2.793609254
1,52,-14.30644347
1,53,-13.25169898
1,56,7.8801745
1,57,12.0751115
1,58,13.0871915
1,59,14.5647776
1,60,13.24975034
1,63,13.45462574
1,64,16.89093805
1,65,18.76502255
1,66,20.38705125
1,67,17.82401952
1,70,11.16553655
1,71,12.45876315
1,72,13.204961
1,73,14.1904025
1,74,12.28384758
1,77,11.37016083
1,78,15.970421
1,79,19.020229
1,80,16.67747325
1,84,5.86334365
1,85,6.265083
1,86,7.304494
1,87,8.7813475
1,88,8.277166917
1,91,13.26224442
1,92,16.51633
1,93,16.8653715
1,94,17.111804
1,95,14.75772205
1,99,11.75199005
1,100,12.6362995
1,101,12.1518345
1,102,11.54848236
1,112,-0.104620364
1,113,-0.137446
1,114,0.4931815
1,115,1.739662
1,116,1.702378083
1,119,-1.423825167
1,120,-1.2253665
1,121,-0.498454
1,122,0.089999
1,123,0.690293917
1,126,4.452825667
1,127,6.203788
1,128,7.836706
1,129,9.1819855
1,130,8.322113417
1,133,10.24954442
1,134,12.867878
1,135,13.5167185
1,136,11.6503447
1,140,3.0977391
1,141,2.446509167
1,143,2.759661833
1,144,2.8194655
1,147,2.2388275
1,148,3.728338
1,149,4.633509
1,150,4.4555505
1,151,3.80027875
1,154,-0.4578995
1,155,-0.3365995
1,156,1.2858335
1,157,0.9718765
1,158,0.208694333
1,161,6.993943583
1,162,6.0658055
1,163,3.121105214
1,169,2.058542929
1,170,3.1832085
1,171,1.007314
1,172,1.369822
1,173,4.116040083
1,176,0.492656369
1,180,1.27872475
1,183,-4.1191055
1,184,-2.542956
1,185,0.5210975
1,186,0.761127
1,187,1.61426025
1,190,2.4683925
1,191,2.555227
1,192,2.396569
1,193,2.1366608
1,197,-0.7897136
1,198,-0.93181125
1,201,-0.806166333
1,204,-0.382953917
1,205,0.029457583
1,208,0.269850333
1,211,8.385619833
1,212,12.104175
1,213,11.6455025
1,214,9.6117505
1,215,8.260935927
1,225,9.013728655
1,226,8.699034548
1,232,6.124249405
1,233,7.399764
1,234,5.404066167
1,236,0.0223975
1,239,20.6946625
1,240,27.95457
1,241,21.89707867
1,243,7.673042133
1,246,5.8648195
1,249,5.717524952
1,253,0.5059384
1,254,-0.578243
1,260,0.009140912
1,267,1.134034268
1,268,1.3007385
1,274,1.295071203
1,281,1.208942982
1,282,1.249936875
1,289,0.588739571
1,296,0.636794714
1,303,1.125716929
1,310,1.050368446
1,311,0.991217595
1,317,0.851709222
1,324,2.493204661
1,325,2.576610522
1,338,5.185619522
1,339,4.943139738
1,345,1.122861013
1,352,2.3860995
1,353,2.274971033
1,358,0.735406267
1,366,-4.149918403
1,367,-4.098498952
1,373,-0.149251744
1,380,-0.214093833
1,394,1.442972167
1,395,1.441245238
1,401,0.916163875
1,408,6.064238036
1,409,6.014447262
1,415,1.329629262
1,422,-6.039922196
1,423,-6.582632066
1,436,-7.223923923
1,437,-6.809192929
1,443,-0.65354561
1,450,7.142142429
1,451,7.680835885
1,464,2.437487385
1,465,2.40506741
1,479,6.48778661
1,480,6.528487024
1,494,7.626260624
1,495,7.140556833
1,501,0.76816657
1,508,-0.351759446
1,509,-0.317641
1,515,0.243907374
1,522,3.748924643
1,523,3.965364544
1,536,0.19425194
1,542,-0.005380778
1,549,3.059324036
1,550,3.16265269
1,556,0.715201592
1,563,-2.040102357
1,564,-2.135306839
1,571,-0.679497381
1,577,-8.453105095
1,578,-9.100518486
1,592,-0.023597019
1,593,0.037833976
1,607,-6.01962349
1,608,-6.128887764
1,621,-0.881259478
1,622,-0.771260967
1,635,-4.646452324
1,636,-4.686724912
1,649,-2.910732698
1,650,-2.875104604
1,663,-0.152600462
