Dose,Day,ReleaseRate
2,1,24.68940392
2,2,30.21630149
2,3,37.93244074
2,4,34.807161
2,8,49.2227553
2,9,58.5722377
2,10,60.09383905
2,11,51.1130243
2,14,18.46855902
2,15,20.3633972
2,16,24.30062885
2,17,28.1928532
2,18,26.46229737
2,21,35.1037391
2,22,47.0217245
2,23,50.75775525
2,24,53.1514579
2,25,47.89828567
2,28,9.149121675
2,29,6.29346845
2,30,9.72966615
2,31,12.951309
2,32,12.83314402
2,35,24.37804657
2,36,30.8873014
2,37,33.2105692
2,38,35.46712895
2,39,31.08406413
2,42,-1.246172
2,43,-9.8455405
2,44,-9.247624333
2,46,-0.831666208
2,52,-6.726960548
2,53,-6.0754375
2,56,9.27439775
2,57,13.4370955
2,58,15.309247
2,59,17.408095
2,60,16.06110742
2,63,17.52412867
2,64,22.1999465
2,65,24.796242
2,66,27.091724
2,67,23.88696425
2,70,13.476293
2,71,15.2380805
2,72,16.898631
2,73,18.917505
2,74,16.89190367
2,77,17.75991992
2,78,23.613842
2,79,27.0155415
2,80,23.940041
2,84,7.9888474
2,85,8.837809
2,86,10.804807
2,87,13.1902325
2,88,12.48090717
2,91,17.85299442
2,92,22.2933735
2,93,23.2371165
2,94,24.1485145
2,95,21.0668702
2,99,12.966939
2,100,14.138471
2,101,14.395825
2,102,13.94944257
2,112,1.155886209
2,113,1.671754
2,114,3.604016
2,115,5.706917
2,116,5.3084165
2,119,4.50420425
2,120,5.9268265
2,121,6.6633775
2,122,7.5513685
2,123,7.195721167
2,126,5.479257667
2,127,7.1175035
2,128,9.2209045
2,129,10.724948
2,130,9.910954833
2,133,13.57360533
2,134,16.920282
2,135,17.976959
2,136,15.776317
2,140,3.690449
2,141,2.912648667
2,143,4.348432
2,144,4.5787195
2,147,4.768231
2,148,6.82918
2,149,8.329646
2,150,8.9653465
2,151,7.730901333
2,154,1.486133583
2,155,2.1244715
2,156,4.5998145
2,157,4.8264585
2,158,3.55279775
2,161,11.86811975
2,162,11.5728745
2,163,7.644722167
2,169,2.541537881
2,170,3.8454565
2,171,2.3170255
2,172,2.5726165
2,173,4.829354
2,176,1.149069179
2,180,2.094299845
2,183,-3.141500833
2,184,-1.2653195
2,185,2.351549
2,186,3.250385
2,187,4.0280365
2,190,5.38561975
2,191,5.943255
2,192,5.8340385
2,193,5.29853265
2,197,0.47703745
2,198,0.200224417
2,201,-0.109351667
2,204,1.14021975
2,205,1.62660725
2,208,1.326051667
2,211,8.573837083
2,212,11.9693915
2,213,11.806156
2,214,10.5331735
2,215,9.547061218
2,225,7.406564855
2,226,7.15404319
2,232,6.278490619
2,233,7.474106
2,234,5.429593167
2,236,0.188540233
2,239,21.99802508
2,240,29.597153
2,241,23.41557567
2,243,8.9308354
2,246,6.957780333
2,249,6.787442917
2,253,1.31212625
2,254,0.087137357
2,260,0.256350478
2,267,1.231246036
2,268,1.370541286
2,274,1.436520714
2,281,1.983981589
2,282,2.041345375
2,289,1.021859214
2,296,0.999678214
2,303,1.448833357
2,310,1.359313964
2,311,1.282233762
2,317,1.191405234
2,324,2.624466161
2,325,2.678911044
2,338,6.308170258
2,339,6.024980119
2,345,1.580916537
2,352,3.394338357
2,353,3.266001433
2,358,1.243168417
2,366,-2.493327097
2,367,-2.468755071
2,373,0.4221255
2,380,0.229781095
2,394,3.017732352
2,395,2.889343048
2,401,1.10644819
2,408,7.338878607
2,409,7.271315738
2,415,1.673572222
2,422,-5.934384964
2,423,-6.511654857
2,436,-6.335754643
2,437,-5.942618595
2,443,-0.356327826
2,450,7.024295321
2,451,7.54569417
2,464,3.01747567
2,465,2.987131719
2,479,8.124617452
2,480,8.164688067
2,494,8.968110733
2,495,8.413032643
2,501,1.176134093
2,508,0.613178786
2,509,0.598962667
2,515,0.590313634
2,522,4.431762429
2,523,4.623585346
2,536,0.404953679
2,542,0.355443987
2,549,4.2704275
2,550,4.319146833
2,556,0.948870086
2,563,-2.505785411
2,564,-2.648827161
2,571,-0.673777234
2,577,-9.288196333
2,578,-10.01824033
2,592,2.558815533
2,593,2.623918629
2,607,-4.982675238
2,608,-5.094170467
2,621,0.385036104
2,622,0.494537368
2,635,-5.545892203
2,636,-5.586109736
2,649,-4.100645236
2,650,-4.083246088
2,663,-0.252641231
