Days_of_testing,Cum_1%
1,12.40869303
2,35.72555364
3,79.29298373
4,128.1277419
8,187.6782729
9,252.2209067
10,316.816089
11,383.5086496
14,447.2779544
15,458.9051144
16,473.1720186
17,490.3614804
18,510.7594839
21,537.0182324
22,564.9740078
23,601.5935302
24,636.4074632
25,675.3195905
28,722.6246113
29,722.6633613
30,726.7976593
31,732.9355313
32,740.6209191
35,757.645118
36,778.5130478
37,801.1317724
38,824.9477317
39,850.4194467
42,883.0599253
43,874.7763989
44,858.6947966
46,851.7923796
52,846.8675105
53,830.3134617
56,820.2795132
57,831.9012957
58,844.4297362
59,858.0756787
60,873.5592914
63,893.2037812
64,908.9605611
65,926.9856573
66,946.4906062
67,967.7597598
70,990.2256117
71,1002.616788
72,1015.143138
73,1029.02671
74,1043.523943
77,1060.455017
78,1073.734001
79,1092.395859
80,1111.774459
84,1135.266324
85,1141.127262
86,1147.79649
87,1155.73625
88,1165.359185
91,1178.078773
92,1194.348478
93,1211.111433
94,1228.079221
95,1245.335041
99,1264.396362
100,1277.895017
101,1289.668961
102,1302.198686
112,1319.559246
113,1319.270558
114,1319.284354
115,1320.256921
116,1322.763678
119,1320.631402
120,1318.969888
121,1318.180669
122,1317.97298
123,1318.360667
126,1323.155011
127,1328.559407
128,1335.562587
129,1344.232819
130,1353.926558
133,1366.548268
134,1378.811915
135,1392.284024
136,1405.845352
140,1421.870998
141,1424.741569
143,1427.93834
144,1431.27864
147,1435.049526
148,1437.615642
149,1442.506202
150,1446.88266
151,1451.417303
154,1456.208861
155,1455.065933
156,1455.535662
157,1457.6376
158,1457.479415
161,1461.407412
162,1470.296226
163,1473.539023
169,1487.88475
170,1489.887891
171,1494.251167
172,1491.902519
173,1496.990811
176,1500.588664
180,1498.790607
183,1506.515319
184,1500.164877
185,1501.429407
186,1501.207072
187,1502.951661
190,1506.621483
191,1509.504915
192,1511.731937
193,1514.298053
197,1515.973413
198,1514.881561
201,1513.526494
204,1510.044563
205,1509.920839
208,1511.387846
211,1511.539941
212,1522.703868
213,1535.748291
214,1545.994873
215,1554.971792
225,1565.982844
226,1575.787835
232,1588.16761
233,1594.968685
234,1602.967138
236,1603.397723
239,1602.596888
240,1630.278753
241,1658.506028
243,1676.9794
246,1692.962129
249,1712.168317
253,1731.387549
254,1730.81877
260,1727.008608
267,1732.333299
268,1733.520671
274,1745.406296
281,1748.870553
282,1750.181503
289,1755.941418
296,1758.423857
303,1764.856544
310,1774.183894
311,1775.193961
317,1780.462688
324,1786.208955
325,1788.941061
338,1796.158262
339,1801.70007
345,1809.806851
352,1815.80268
353,1818.407287
358,1821.541243
366,1828.814766
367,1824.032459
373,1824.058555
380,1821.759384
394,1821.964127
395,1823.509124
401,1828.421532
408,1835.630351
409,1842.41379
415,1850.816771
422,1859.545424
423,1852.46452
436,1851.09826
437,1843.326734
443,1837.115567
450,1835.657547
451,1843.849751
464,1857.279406
465,1859.824927
479,1865.966967
480,1872.88683
494,1887.575957
495,1895.672006
501,1904.117629
508,1904.272724
509,1903.867548
515,1905.112962
522,1907.117077
523,1911.360662
536,1915.891144
542,1916.629511
549,1915.542903
550,1919.061449
556,1925.225206
563,1927.682872
564,1925.30117
571,1922.427385
577,1916.967195
578,1907.256911
592,1899.363693
593,1899.378682
607,1904.385973
608,1897.910829
621,1876.752592
622,1875.92874
635,1874.790232
636,1869.793097
649,1861.324978
650,1858.24045
663,1856.256644
