Days_of_testing,Cum_2%
1,15.68549099
2,40.37489491
3,76.11809397
4,116.2397764
8,170.4360776
9,228.5772529
10,287.580553
11,348.764931
14,411.4618206
15,429.1202449
16,452.188615
17,477.7215026
18,508.5743214
21,548.4465207
22,590.8212618
23,642.4899697
24,692.3367723
25,748.7928855
28,815.4672948
29,820.257856
30,828.0542317
31,839.7171883
32,853.9568497
35,879.7976253
36,909.4304901
37,941.5722281
38,975.8516285
39,1012.506486
42,1055.621538
43,1049.169414
44,1035.930457
46,1033.400539
52,1036.209812
53,1028.283656
56,1026.71381
57,1039.254101
58,1053.588001
59,1069.872595
60,1088.404191
63,1114.353116
64,1134.835407
65,1158.753009
66,1184.427891
67,1212.936457
70,1243.002934
71,1257.630605
72,1273.479095
73,1291.427867
74,1311.314105
77,1335.040807
78,1356.0844
79,1382.268491
80,1410.115483
84,1443.364431
85,1451.272431
86,1461.040049
87,1472.882045
88,1487.420514
91,1506.345179
92,1528.046431
93,1550.931926
94,1574.520664
95,1599.228955
99,1625.233703
100,1639.81708
101,1653.510645
102,1668.60873
112,1693.238913
113,1694.264086
114,1696.582421
115,1701.472118
116,1707.996255
119,1712.98002
120,1718.431874
121,1724.833673
122,1731.758629
123,1739.93641
126,1752.685035
127,1758.574198
128,1766.920042
129,1777.016007
130,1788.369938
133,1805.116017
134,1821.353482
135,1838.956581
136,1857.3074
140,1879.220636
141,1882.46412
143,1886.966076
144,1892.363235
147,1898.733438
148,1904.383279
149,1912.391798
150,1921.042571
151,1930.322491
154,1939.574027
155,1940.52759
156,1943.82297
157,1949.727219
158,1953.475887
161,1962.371448
162,1977.207212
163,1985.517197
169,2007.436068
170,2009.792338
171,2015.126981
172,2014.426389
173,2020.272214
176,2025.612037
180,2026.843664
183,2037.145948
184,2031.812582
185,2034.615309
186,2036.51568
187,2041.116079
190,2048.048926
191,2054.459436
192,2059.935436
193,2066.127513
197,2073.024934
198,2073.190142
201,2074.105963
204,2072.534032
205,2074.228984
208,2078.493703
211,2082.185294
212,2093.2069
213,2106.124077
214,2116.819212
215,2127.190424
225,2140.245958
226,2148.262624
232,2160.132462
233,2167.12765
234,2175.080674
236,2175.846137
239,2175.537897
240,2204.902846
241,2234.732203
243,2255.908229
246,2275.243436
249,2297.654911
253,2321.161756
254,2321.332736
260,2318.837225
267,2326.121875
268,2327.380347
274,2339.638089
281,2344.741171
282,2346.904434
289,2355.219888
296,2361.210463
303,2369.215383
310,2381.49413
311,2382.797045
317,2389.745923
324,2398.357374
325,2401.18102
338,2411.546656
339,2418.278735
345,2428.973056
352,2438.394131
353,2442.081108
358,2447.886726
366,2458.882247
367,2455.905449
373,2459.382464
380,2461.052097
394,2464.024371
395,2467.242491
401,2472.742579
408,2482.037479
409,2490.235077
415,2500.51681
422,2511.904741
423,2504.89018
436,2505.229805
437,2498.404675
443,2494.519374
450,2494.403395
451,2502.433528
464,2518.65739
465,2521.81098
479,2531.005001
480,2539.66304
494,2557.27189
495,2566.790739
501,2577.459546
508,2580.776148
509,2581.409238
515,2583.77443
522,2589.508231
523,2594.456086
536,2599.761124
542,2602.182189
549,2604.277751
550,2609.115473
556,2616.361648
563,2620.889995
564,2617.933825
571,2614.451834
577,2609.502228
578,2598.803488
592,2591.926058
593,2594.702735
607,2601.496955
608,2596.12371
621,2577.06309
622,2577.590529
635,2578.459139
636,2572.4815
649,2566.030519
650,2561.652611
663,2558.368275
